index meandiffmet meanerrmet numerrors rel
0 -1.000000 -nan 0 -nan
1 -1.000000 -nan 0 -nan
2 -1.000000 -nan 0 -nan
3 -1.000000 -nan 0 -nan
4 -1.000000 -nan 0 -nan
5 -1.000000 -nan 0 -nan
6 -1.000000 -nan 0 -nan
7 -1.000000 -nan 0 -nan
8 -1.000000 -nan 0 -nan
9 -1.000000 -nan 0 -nan
10 -1.000000 -nan 0 -nan
11 -1.000000 -nan 0 -nan
12 -1.000000 -nan 0 -nan
13 -1.000000 -nan 0 -nan
14 -1.000000 -nan 0 -nan
15 -1.000000 -nan 0 -nan
16 -1.000000 -nan 0 -nan
17 -1.000000 -nan 0 -nan
18 -1.000000 -nan 0 -nan
19 -1.000000 -nan 0 -nan
20 -1.000000 -nan 0 -nan
21 -1.000000 -nan 0 -nan
22 -1.000000 -nan 0 -nan
23 -1.000000 -nan 0 -nan
24 -1.000000 -nan 0 -nan
25 -1.000000 -nan 0 -nan
26 -1.000000 -nan 0 -nan
27 -1.000000 -nan 0 -nan
28 -1.000000 -nan 0 -nan
29 -1.000000 -nan 0 -nan
30 -1.000000 -nan 0 -nan
31 8.436627 -nan 0 -nan
32 -1.000000 -nan 0 -nan
33 -1.000000 -nan 0 -nan
34 -1.000000 -nan 0 -nan
35 -1.000000 -nan 0 -nan
36 -1.000000 -nan 0 -nan
37 -1.000000 -nan 0 -nan
38 -1.000000 -nan 0 -nan
39 -1.000000 -nan 0 -nan
40 -1.000000 -nan 0 -nan
41 -1.000000 -nan 0 -nan
42 -1.000000 -nan 0 -nan
43 -1.000000 -nan 0 -nan
44 -1.000000 -nan 0 -nan
45 -1.000000 -nan 0 -nan
46 -1.000000 -nan 0 -nan
47 12.284137 4.053739 25820 3.030323
48 -1.000000 -nan 0 -nan
49 -1.000000 -nan 0 -nan
50 -1.000000 -nan 0 -nan
51 -1.000000 -nan 0 -nan
52 -1.000000 -nan 0 -nan
53 -1.000000 -nan 0 -nan
54 -1.000000 -nan 0 -nan
55 14.591104 3.944751 11086 3.698866
56 -1.000000 -nan 0 -nan
57 -1.000000 -nan 0 -nan
58 12.962143 3.299490 22985 3.928530
59 12.351970 4.474207 3961 2.760706
60 8.308722 3.162897 26011 2.626934
61 18.455016 4.554157 872 4.052345
62 18.287607 7.278726 123 2.512474
63 49.935773 -nan 0 -nan
64 -1.000000 -nan 0 -nan
65 -1.000000 -nan 0 -nan
66 -1.000000 -nan 0 -nan
67 -1.000000 -nan 0 -nan
68 -1.000000 -nan 0 -nan
69 -1.000000 -nan 0 -nan
70 -1.000000 -nan 0 -nan
71 -1.000000 -nan 0 -nan
72 -1.000000 -nan 0 -nan
73 -1.000000 -nan 0 -nan
74 -1.000000 -nan 0 -nan
75 -1.000000 -nan 0 -nan
76 -1.000000 -nan 0 -nan
77 -1.000000 -nan 0 -nan
78 8.132955 3.048182 32221 2.668133
79 14.106926 3.859126 6565 3.655472
80 -1.000000 -nan 0 -nan
81 -1.000000 -nan 0 -nan
82 -1.000000 -nan 0 -nan
83 -1.000000 -nan 0 -nan
84 -1.000000 -nan 0 -nan
85 7.813005 2.916919 34144 2.678513
86 7.742990 2.913643 27992 2.657494
87 19.064778 6.272216 197 3.039560
88 -1.000000 -nan 0 -nan
89 8.591540 2.944846 20039 2.917484
90 9.311418 3.137729 11568 2.967566
91 23.411043 7.411143 16 3.158898
92 10.572815 3.331375 5333 3.173709
93 26.129604 10.319506 1 2.532059
94 28.382755 -nan 0 -nan
95 67.064243 -nan 0 -nan
96 -1.000000 -nan 0 -nan
97 -1.000000 -nan 0 -nan
98 -1.000000 -nan 0 -nan
99 8.686944 2.987569 18527 2.907697
100 -1.000000 -nan 0 -nan
101 9.371801 2.998056 12674 3.125959
102 10.320394 3.156875 7114 3.269180
103 24.812938 11.616957 2 2.135924
104 -1.000000 -nan 0 -nan
105 11.095607 3.210256 5477 3.456299
106 12.194098 3.329627 2853 3.662301
107 29.306708 -nan 0 -nan
108 13.654126 3.321614 1411 4.110691
109 32.534280 -nan 0 -nan
110 35.106712 -nan 0 -nan
111 80.151929 -nan 0 -nan
112 -1.000000 -nan 0 -nan
113 13.311135 3.390490 1833 3.926021
114 14.558392 3.460306 961 4.207256
115 34.354924 -nan 0 -nan
116 16.056624 3.673924 447 4.370429
117 37.552669 -nan 0 -nan
118 40.194319 -nan 0 -nan
119 90.531437 -nan 0 -nan
120 17.744802 3.659705 276 4.848698
121 41.193789 -nan 0 -nan
122 43.794278 -nan 0 -nan
123 97.829749 -nan 0 -nan
124 46.718301 -nan 0 -nan
125 103.450707 -nan 0 -nan
126 107.760754 -nan 0 -nan
127 233.114987 -nan 0 -nan
128 -1.000000 -nan 0 -nan
129 -1.000000 -nan 0 -nan
130 -1.000000 -nan 0 -nan
131 -1.000000 -nan 0 -nan
132 -1.000000 -nan 0 -nan
133 -1.000000 -nan 0 -nan
134 -1.000000 -nan 0 -nan
135 -1.000000 -nan 0 -nan
136 -1.000000 -nan 0 -nan
137 -1.000000 -nan 0 -nan
138 -1.000000 -nan 0 -nan
139 10.138870 3.211551 10302 3.157001
140 -1.000000 -nan 0 -nan
141 8.677111 2.977513 17965 2.914214
142 9.418874 3.109957 10356 3.028619
143 21.701368 10.664465 13 2.034923
144 -1.000000 -nan 0 -nan
145 -1.000000 -nan 0 -nan
146 -1.000000 -nan 0 -nan
147 9.599462 3.028451 10830 3.169760
148 -1.000000 -nan 0 -nan
149 10.670673 3.043676 6555 3.505851
150 11.790407 3.101008 3522 3.802121
151 27.817144 -nan 0 -nan
152 -1.000000 -nan 0 -nan
153 12.429620 3.260840 2537 3.811785
154 13.719386 3.394259 1309 4.041939
155 32.109259 -nan 0 -nan
156 15.266066 3.286846 709 4.644594
157 35.577451 -nan 0 -nan
158 38.430494 -nan 0 -nan
159 86.606369 -nan 0 -nan
160 -1.000000 -nan 0 -nan
161 -1.000000 -nan 0 -nan
162 -1.000000 -nan 0 -nan
163 12.756780 3.341583 2568 3.817586
164 -1.000000 -nan 0 -nan
165 13.936814 3.259128 1498 4.276240
166 15.119833 3.272500 769 4.620270
167 33.726393 -nan 0 -nan
168 9.619284 2.931840 7146 3.280971
169 11.924256 4.479246 635 2.662112
170 13.607818 4.269842 298 3.186961
171 37.571005 -nan 0 -nan
172 15.630359 4.524087 158 3.454920
173 41.053640 -nan 0 -nan
174 43.787544 -nan 0 -nan
175 101.434673 -nan 0 -nan
176 8.041365 2.931306 6276 2.743271
177 17.089147 4.423767 151 3.863030
178 18.589041 4.820416 66 3.856314
179 45.383790 -nan 0 -nan
180 20.377703 4.581455 30 4.447867
181 48.703075 -nan 0 -nan
182 51.183447 -nan 0 -nan
183 114.560376 -nan 0 -nan
184 20.885303 7.837979 1 2.664628
185 50.951818 -nan 0 -nan
186 53.626801 -nan 0 -nan
187 120.505028 -nan 0 -nan
188 56.758510 -nan 0 -nan
189 126.329163 -nan 0 -nan
190 130.644614 -nan 0 -nan
191 281.631311 -nan 0 -nan
192 -1.000000 -nan 0 -nan
193 -1.000000 -nan 0 -nan
194 7.844448 2.848010 8366 2.754361
195 13.902462 3.662087 894 3.796322
196 7.469055 2.752084 9000 2.713964
197 17.277287 3.927160 211 4.399436
198 17.529605 8.053804 13 2.176562
199 44.012652 -nan 0 -nan
200 8.279929 2.874862 5224 2.880114
201 20.053356 3.928705 36 5.104317
202 20.648426 6.127045 5 3.370047
203 49.360497 -nan 0 -nan
204 22.592052 -nan 0 -nan
205 52.910420 -nan 0 -nan
206 54.685407 -nan 0 -nan
207 121.953570 -nan 0 -nan
208 9.516025 2.904869 2789 3.275887
209 22.989545 3.182414 12 7.223933
210 23.820255 12.511820 1 1.903820
211 55.270855 -nan 0 -nan
212 25.684848 -nan 0 -nan
213 58.742886 -nan 0 -nan
214 60.589948 -nan 0 -nan
215 133.276451 -nan 0 -nan
216 27.792461 10.464393 1 2.655908
217 62.805652 -nan 0 -nan
218 64.750825 -nan 0 -nan
219 141.283680 -nan 0 -nan
220 67.702392 -nan 0 -nan
221 146.981607 -nan 0 -nan
222 150.600139 -nan 0 -nan
223 320.519951 -nan 0 -nan
224 10.853554 3.037707 1453 3.572943
225 26.082917 3.239098 3 8.052524
