ind freq
0 50986
1 49337
2 47826
3 46529
4 44745
5 42721
6 41020
7 39265
8 37328
9 35302
10 33648
11 31365
12 29436
13 27532
14 25393
15 23420
16 21015
17 19169
18 17088
19 15062
20 12981
21 11014
22 9174
23 7320
24 5840
25 4454
26 3366
27 2301
28 1707
29 1113
30 767
31 488
32 320
33 193
34 117
35 97
36 49
37 32
38 17
39 22
40 7
41 14
42 6
43 8
44 9
45 7
46 3
47 14
48 11
49 12
50 10
51 15
52 13
53 16
54 19
55 13
56 15
57 11
58 15
59 13
60 5
61 0
62 2
63 0
64 1
65 0
66 2
67 1
68 6
69 4
70 8
71 7
72 5
73 11
74 3
75 1
76 2
77 0
78 1
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
