ind freq
0 65726
1 68251
2 50995
3 33340
4 26606
5 22753
6 25099
7 32627
8 19696
9 27339
10 23996
11 21714
12 15770
13 19445
14 9285
15 15130
16 10512
17 7172
18 4995
19 6487
20 8411
21 5380
22 4958
23 3989
24 2960
25 1878
26 1567
27 910
28 704
29 1307
30 523
31 212
32 188
33 93
34 66
35 38
36 20
37 16
38 10
39 5
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
125 0
126 0
127 0
