,0,1,2,3,4,5,6,7,8,9
0,0.615,0.41,0.325,0.205,0.23,0.12,0.105,0.0545,0.02656,0.02907
1,0.54,0.415,0.275,0.2,0.13,0.145,0.05141,0.04598,0.06006,0.01918
2,0.51,0.315,0.215,0.13,0.09756,0.05634,0.03774,0.02558,0.02024,0.01918
3,0.41,0.305,0.17,0.09434,0.06645,0.05115,0.03295,0.01635,0.01698,0.01372
4,0.375,0.195,0.14,0.08264,0.05,0.05222,0.0172,0.01656,0.00607,0.01095
5,0.31,0.19,0.08197,0.09132,0.0339,0.02721,0.01103,0.0123,0.00953,0.00267
6,0.26,0.135,0.08032,0.03817,0.0241,0.02463,0.00837,0.00466,0.0045,0.00329
7,0.225,0.125,0.07194,0.03831,0.02433,0.00887,0.00705,0.00306,0.0019,0.0017
8,0.215,0.08734,0.06645,0.02833,0.01765,0.00521,0.00429,0.00166,0.00105,0.00062
9,0.18,0.06061,0.03215,0.01723,0.0072,0.00499,0.00176,,,
